,time_period,dteday,season,yr,mnth,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
0,1,2011-01-01,1,0,1,6,0,1,0.24,0.2879,0.81,0.0,16
1,1,2011-01-01,1,0,1,6,0,1,0.22,0.2727,0.8,0.0,40
2,1,2011-01-01,1,0,1,6,0,1,0.22,0.2727,0.8,0.0,32
3,1,2011-01-01,1,0,1,6,0,1,0.24,0.2879,0.75,0.0,13
4,1,2011-01-01,1,0,1,6,0,1,0.24,0.2879,0.75,0.0,1
5,1,2011-01-01,1,0,1,6,0,2,0.24,0.2576,0.75,0.0896,1
6,2,2011-01-01,1,0,1,6,0,1,0.22,0.2727,0.8,0.0,2
7,2,2011-01-01,1,0,1,6,0,1,0.2,0.2576,0.86,0.0,3
8,2,2011-01-01,1,0,1,6,0,1,0.24,0.2879,0.75,0.0,8
9,2,2011-01-01,1,0,1,6,0,1,0.32,0.3485,0.76,0.0,14
10,2,2011-01-01,1,0,1,6,0,1,0.38,0.3939,0.76,0.2537,36
11,2,2011-01-01,1,0,1,6,0,1,0.36,0.3333,0.81,0.2836,56
12,3,2011-01-01,1,0,1,6,0,1,0.42,0.4242,0.77,0.2836,84
13,3,2011-01-01,1,0,1,6,0,2,0.46,0.4545,0.72,0.2985,94
14,3,2011-01-01,1,0,1,6,0,2,0.46,0.4545,0.72,0.2836,106
15,3,2011-01-01,1,0,1,6,0,2,0.44,0.4394,0.77,0.2985,110
16,3,2011-01-01,1,0,1,6,0,2,0.42,0.4242,0.82,0.2985,93
17,3,2011-01-01,1,0,1,6,0,2,0.44,0.4394,0.82,0.2836,67
18,4,2011-01-01,1,0,1,6,0,3,0.42,0.4242,0.88,0.2537,35
19,4,2011-01-01,1,0,1,6,0,3,0.42,0.4242,0.88,0.2537,37
20,4,2011-01-01,1,0,1,6,0,2,0.4,0.4091,0.87,0.2537,36
21,4,2011-01-01,1,0,1,6,0,2,0.4,0.4091,0.87,0.194,34
22,4,2011-01-01,1,0,1,6,0,2,0.4,0.4091,0.94,0.2239,28
23,4,2011-01-01,1,0,1,6,0,2,0.46,0.4545,0.88,0.2985,39
24,1,2011-01-02,1,0,1,0,0,2,0.46,0.4545,0.88,0.2985,17
25,1,2011-01-02,1,0,1,0,0,2,0.44,0.4394,0.94,0.2537,17
26,1,2011-01-02,1,0,1,0,0,2,0.42,0.4242,1.0,0.2836,9
27,1,2011-01-02,1,0,1,0,0,2,0.46,0.4545,0.94,0.194,6
28,1,2011-01-02,1,0,1,0,0,2,0.46,0.4545,0.94,0.194,3
29,2,2011-01-02,1,0,1,0,0,3,0.42,0.4242,0.77,0.2985,2
30,2,2011-01-02,1,0,1,0,0,2,0.4,0.4091,0.76,0.194,1
31,2,2011-01-02,1,0,1,0,0,3,0.4,0.4091,0.71,0.2239,8
32,2,2011-01-02,1,0,1,0,0,2,0.38,0.3939,0.76,0.2239,20
33,2,2011-01-02,1,0,1,0,0,2,0.36,0.3485,0.81,0.2239,53
34,2,2011-01-02,1,0,1,0,0,2,0.36,0.3333,0.71,0.2537,70
35,3,2011-01-02,1,0,1,0,0,2,0.36,0.3333,0.66,0.2985,93
36,3,2011-01-02,1,0,1,0,0,2,0.36,0.3485,0.66,0.1343,75
37,3,2011-01-02,1,0,1,0,0,3,0.36,0.3485,0.76,0.194,59
38,3,2011-01-02,1,0,1,0,0,3,0.34,0.3333,0.81,0.1642,74
39,3,2011-01-02,1,0,1,0,0,3,0.34,0.3333,0.71,0.1642,76
40,3,2011-01-02,1,0,1,0,0,1,0.34,0.3333,0.57,0.194,65
41,4,2011-01-02,1,0,1,0,0,2,0.36,0.3333,0.46,0.3284,53
42,4,2011-01-02,1,0,1,0,0,1,0.32,0.2879,0.42,0.4478,30
43,4,2011-01-02,1,0,1,0,0,1,0.3,0.2727,0.39,0.3582,22
44,4,2011-01-02,1,0,1,0,0,1,0.26,0.2273,0.44,0.3284,31
45,4,2011-01-02,1,0,1,0,0,1,0.24,0.2121,0.44,0.2985,9
46,4,2011-01-02,1,0,1,0,0,1,0.22,0.2273,0.47,0.1642,8
47,1,2011-01-03,1,0,1,1,1,1,0.22,0.197,0.44,0.3582,5
48,1,2011-01-03,1,0,1,1,1,1,0.2,0.1667,0.44,0.4179,2
49,1,2011-01-03,1,0,1,1,1,1,0.16,0.1364,0.47,0.3881,1
50,1,2011-01-03,1,0,1,1,1,1,0.16,0.1364,0.47,0.2836,3
51,2,2011-01-03,1,0,1,1,1,1,0.14,0.1061,0.5,0.3881,30
52,2,2011-01-03,1,0,1,1,1,1,0.14,0.1364,0.5,0.194,64
53,2,2011-01-03,1,0,1,1,1,1,0.14,0.1212,0.5,0.2836,154
54,2,2011-01-03,1,0,1,1,1,1,0.16,0.1364,0.43,0.3881,88
55,2,2011-01-03,1,0,1,1,1,1,0.18,0.1667,0.43,0.2537,44
56,2,2011-01-03,1,0,1,1,1,1,0.2,0.1818,0.4,0.3284,51
57,3,2011-01-03,1,0,1,1,1,1,0.22,0.2121,0.35,0.2985,61
58,3,2011-01-03,1,0,1,1,1,1,0.24,0.2121,0.35,0.2836,61
59,3,2011-01-03,1,0,1,1,1,1,0.26,0.2424,0.3,0.2836,77
60,3,2011-01-03,1,0,1,1,1,1,0.26,0.2424,0.3,0.2537,72
61,3,2011-01-03,1,0,1,1,1,1,0.26,0.2424,0.3,0.2537,76
62,3,2011-01-03,1,0,1,1,1,1,0.24,0.2273,0.3,0.2239,157
63,4,2011-01-03,1,0,1,1,1,1,0.24,0.2576,0.32,0.1045,157
64,4,2011-01-03,1,0,1,1,1,1,0.2,0.2576,0.47,0.0,110
65,4,2011-01-03,1,0,1,1,1,1,0.2,0.2273,0.47,0.1045,52
66,4,2011-01-03,1,0,1,1,1,1,0.18,0.197,0.64,0.1343,52
67,4,2011-01-03,1,0,1,1,1,1,0.14,0.1515,0.69,0.1343,20
68,4,2011-01-03,1,0,1,1,1,1,0.18,0.2121,0.55,0.1045,12
69,1,2011-01-04,1,0,1,2,1,1,0.16,0.1818,0.55,0.1045,5
70,1,2011-01-04,1,0,1,2,1,1,0.16,0.1818,0.59,0.1045,2
71,1,2011-01-04,1,0,1,2,1,1,0.14,0.1515,0.63,0.1343,1
72,1,2011-01-04,1,0,1,2,1,1,0.14,0.1818,0.63,0.0896,2
73,1,2011-01-04,1,0,1,2,1,1,0.12,0.1515,0.68,0.1045,4
74,2,2011-01-04,1,0,1,2,1,1,0.12,0.1515,0.74,0.1045,36
75,2,2011-01-04,1,0,1,2,1,1,0.12,0.1515,0.74,0.1343,94
76,2,2011-01-04,1,0,1,2,1,1,0.14,0.1515,0.69,0.1642,179
77,2,2011-01-04,1,0,1,2,1,1,0.16,0.1515,0.64,0.2239,100
78,2,2011-01-04,1,0,1,2,1,2,0.16,0.1364,0.69,0.3284,42
79,2,2011-01-04,1,0,1,2,1,1,0.22,0.2121,0.51,0.2985,57
80,3,2011-01-04,1,0,1,2,1,1,0.22,0.2273,0.51,0.1642,78
81,3,2011-01-04,1,0,1,2,1,1,0.24,0.2273,0.56,0.194,97
82,3,2011-01-04,1,0,1,2,1,1,0.26,0.2576,0.52,0.2239,63
83,3,2011-01-04,1,0,1,2,1,1,0.28,0.2727,0.52,0.2537,65
84,3,2011-01-04,1,0,1,2,1,1,0.3,0.2879,0.49,0.2537,83
85,3,2011-01-04,1,0,1,2,1,1,0.28,0.2727,0.48,0.2239,212
86,4,2011-01-04,1,0,1,2,1,1,0.26,0.2576,0.48,0.194,182
87,4,2011-01-04,1,0,1,2,1,1,0.24,0.2576,0.48,0.1045,112
88,4,2011-01-04,1,0,1,2,1,1,0.24,0.2576,0.48,0.1045,54
89,4,2011-01-04,1,0,1,2,1,1,0.22,0.2727,0.64,0.0,48
90,4,2011-01-04,1,0,1,2,1,1,0.22,0.2576,0.64,0.0896,35
91,4,2011-01-04,1,0,1,2,1,1,0.2,0.2273,0.69,0.0896,11
92,1,2011-01-05,1,0,1,3,1,1,0.2,0.2576,0.64,0.0,6
93,1,2011-01-05,1,0,1,3,1,1,0.16,0.197,0.74,0.0896,6
